pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,3574,3583,7.035419,7.053135,19.685,0.007,254.823,3578,7.043293,4.317995,3574,3583,19.685,3574,3583,19.685,3576,3580,9.842
2,4604,4622,9.062974,9.098407,37.401,0.006,254.994,4608,9.070848,8.647451,4604,4622,37.401,4604,4621,35.433,4606,4619,27.559
3,5639,5678,11.100371,11.177143,78.740,0.007,254.993,5643,11.108245,19.208515,5639,5678,78.740,5639,5677,76.771,5641,5675,68.897
4,6685,6736,13.159422,13.259816,102.362,0.007,254.993,6688,13.165328,25.435189,6685,6736,102.362,6685,6736,102.362,6686,6734,96.456
5,7742,7838,15.240127,15.429103,190.944,0.006,254.994,7745,15.246032,38.122636,7742,7838,190.944,7742,7837,188.976,7744,7834,179.133
6,8812,8899,17.346422,17.517681,173.228,0.007,254.993,8816,17.354296,43.147146,8812,8899,173.228,8812,8898,171.260,8814,8896,163.385
7,9908,10057,19.503898,19.797204,295.275,0.007,254.993,9911,19.509804,64.749689,9908,10057,295.275,9908,10056,293.306,9910,10053,283.464
8,11029,11204,21.710586,22.055074,346.456,0.007,254.993,11033,21.718460,77.816555,11029,11204,346.456,11029,11204,346.456,11031,11201,336.613
9,12177,12357,23.970425,24.324754,356.298,0.008,254.992,12180,23.976330,80.179168,12177,12357,356.298,12177,12356,354.330,12178,12353,346.456
10,13331,13516,26.242074,26.606246,366.141,0.007,254.993,13334,26.247979,82.928900,13331,13516,366.141,13331,13516,366.141,13333,13513,356.298
11,14488,14676,28.519628,28.889706,372.046,0.006,254.994,14491,28.525533,84.114587,14488,14676,372.046,14488,14675,370.078,14490,14673,362.204
12,15651,15844,30.808993,31.188914,381.889,0.008,254.992,15654,30.814899,87.016663,15651,15844,381.889,15651,15844,381.889,15653,15841,372.046
13,16818,17013,33.106233,33.490091,385.826,0.008,254.992,16822,33.114107,87.772582,16818,17013,385.826,16818,17012,383.857,16820,17009,374.015
14,17984,18183,35.401504,35.793236,393.700,0.008,254.992,17987,35.407409,90.052340,17984,18183,393.700,17984,18183,393.700,17986,18180,383.857
15,19089,19280,37.576696,37.952680,377.952,0.008,254.992,19092,37.582602,85.879025,19089,19280,377.952,19089,19279,375.983,19091,19276,366.141
16,20253,20555,39.868030,40.462517,596.455,0.006,254.994,20256,39.873936,141.410287,20253,20555,596.455,20253,20555,596.455,20255,20552,586.613
17,21528,21957,42.377868,43.222354,846.455,0.007,254.993,21531,42.383773,204.955395,21528,21957,846.455,21528,21956,844.486,21530,21954,836.612
18,22931,23481,45.139674,46.222348,1084.643,0.007,254.993,22934,45.145579,265.285050,22931,23481,1084.643,22931,23480,1082.675,22933,23477,1072.832
19,24454,25264,48.137699,49.732184,1596.453,0.009,254.991,24457,48.143604,395.136918,24454,25264,1596.453,24454,25264,1596.453,24456,25261,1586.611
20,26236,27301,51.645566,53.742019,2098.421,0.008,254.992,26240,51.653440,522.947521,26236,27301,2098.421,26236,27301,2098.421,26238,27298,2088.579
21,28274,29592,55.657369,58.251852,2596.451,0.007,254.993,28278,55.665243,649.347648,28274,29592,2596.451,28274,29591,2594.483,28276,29589,2586.609
22,30566,32137,60.169171,63.261684,3094.482,0.006,254.994,30569,60.175076,775.703267,30566,32137,3094.482,30566,32136,3092.514,30568,32133,3082.671
23,33112,35192,65.180972,69.275452,4096.448,0.008,254.992,33115,65.186877,1030.216054,33112,35192,4096.448,33112,35191,4094.480,33113,35188,4086.606
